Loja,Ref. Basica,Descriçao,Saldo em Estoque,Estoque $ Custo,Estoque $ Venda,Tab Preco Custo,PV Tab Venda,PV Tab Promo,PV Tab P Original,Razão Social Fornecedor,Nome Fantasia Fornecedor,Marca,Coleção,Categoria,SubCategoria,Origem,Material,Grupo,Artigo,Modelo,Dt. Saldo,Cod. Saldo
238 - UK - RECIFE 2 - 238,2 02 15 008869,RASTEIRA NOBUCK VEG SPIDER I26,1,62,199,62,199,199,199,CALCADOS PERTHO LTDA-ME,NICOLLI ROSSETTI,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE,CALCADOS,RASTEIRA,SPIDERI26,3/10/2026,1
240 - UK - RECIFE 3 - 240,2 02 15 008869,RASTEIRA NOBUCK VEG SPIDER I26,1,62,199,62,199,199,199,CALCADOS PERTHO LTDA-ME,NICOLLI ROSSETTI,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE,CALCADOS,RASTEIRA,SPIDERI26,2/25/2026,1
238 - UK - RECIFE 2 - 238,2 02 15 007995,FLAT NOB VEG/ELASTICO SPIDER V24,1,51,179,51,199,179,179,CALCADOS PERTHO LTDA-ME,NICOLLI ROSSETTI,UNCLE K,VERAO 2024,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE/ELASTI,CALCADOS,RASTEIRA,SPIDERV24,12/11/2023,1
242 - UK - RECIFE 4 - 242,2 04 01 008657,PORTA FONE COURO 70592 V26,2,"56,56",138,"28,28",89,69,89,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,COURO,ACESSORIOS,PORTA FONE,70592V26,1/14/2026,1
226 - UK - RECIFE - 226,2 04 01 008655,PORTA CELULAR COURO 70366 V26,1,"69,81",169,"69,81",209,169,209,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,COURO,ACESSORIOS,PORTA CELULAR,70366V26,12/26/2025,1
238 - UK - RECIFE 2 - 238,2 04 01 008777,PORTA DOC COURO 70351 V26,1,"44,2",139,"44,2",139,139,139,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,COURO,ACESSORIOS,PORTA DOCUMENTO,70351V26,12/22/2025,1
226 - UK - RECIFE - 226,2 04 01 008640,PORTA PASSAPORTE COURO 70350 V26,1,53,119,53,159,119,159,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,COURO,ACESSORIOS,PORTA PASSAPORTE,70350V26,1/19/2026,1
240 - UK - RECIFE 3 - 240,2 04 01 008908,BAG CHARM SINTETICO 70622 I26,6,168,534,28,89,89,89,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SINTETICO,ACESSORIOS,CHAVEIRO,70622I26,3/4/2026,1
226 - UK - RECIFE - 226,2 04 19 008726,CARTEIRA PU 70533 V26,1,"88,1",149,"88,1",219,149,219,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,CARTEIRAS,NACIONAL,PU,CARTEIRAS,CARTEIRA,70533V26,2/28/2026,1
238 - UK - RECIFE 2 - 238,2 04 07 008651,CARTEIRA COURO 70347 V26,1,"75,67",229,"75,67",229,229,229,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70347V26,3/16/2026,1
242 - UK - RECIFE 4 - 242,2 04 07 008702,CARTEIRA COURO 70499 V26,1,"52,86",169,"52,86",169,169,169,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70499V26,12/16/2025,1
242 - UK - RECIFE 4 - 242,2 04 07 008701,CARTEIRA COURO 70426 V26,1,"89,9",269,"89,9",269,269,269,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70426V26,12/16/2025,1
238 - UK - RECIFE 2 - 238,2 04 01 008433,PORTA NIQUEL PU GELATO V25,2,"74,82",98,"37,41",119,49,119,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,ACESSORIOS,ACESSORIOS,NACIONAL,PU,ACESSORIOS,PORTA NIQUEL,70560V25,12/29/2025,1
238 - UK - RECIFE 2 - 238,2 04 07 007782,CARTEIRA COURO 70376,1,"42,14",159,"42,14",159,159,159,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2023,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,MASCULINO,CARTEIRA MASCULINA,70376I23,3/13/2026,1
242 - UK - RECIFE 4 - 242,2 04 19 008377,CARTEIRA PU 70533 V25,3,"238,38",447,"79,46",219,149,219,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,ACESSORIOS,CARTEIRAS,NACIONAL,PU,CARTEIRAS,CARTEIRA,70533V25,10/29/2024,1
240 - UK - RECIFE 3 - 240,2 04 19 008377,CARTEIRA PU 70533 V25,2,"158,92",298,"79,46",219,149,219,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,ACESSORIOS,CARTEIRAS,NACIONAL,PU,CARTEIRAS,CARTEIRA,70533V25,10/24/2024,1
226 - UK - RECIFE - 226,2 01 03 008261,BOLSA COURO 61063 V25,1,138,459,138,459,459,459,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61063V25,8/5/2025,1
242 - UK - RECIFE 4 - 242,2 04 07 008203,CARTEIRA COURO 70377 I24,1,"34,9",119,"34,9",119,119,119,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2024,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,MASCULINO,CARTEIRA MASCULINA,70377I24,11/6/2025,1
242 - UK - RECIFE 4 - 242,2 04 07 008202,CARTEIRA COURO 70376 I24,3,"159,33",537,"53,11",179,179,179,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2024,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,MASCULINO,CARTEIRA MASCULINA,70376I24,8/13/2024,1
226 - UK - RECIFE - 226,2 04 07 008202,CARTEIRA COURO 70376 I24,1,"53,11",179,"53,11",179,179,179,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2024,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,MASCULINO,CARTEIRA MASCULINA,70376I24,12/4/2025,1
226 - UK - RECIFE - 226,2 04 07 008201,CARTEIRA COURO 70375 I24,1,"49,95",169,"49,95",169,169,169,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,INVERNO 2024,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,MASCULINO,CARTEIRA MASCULINA,70375I24,3/6/2026,1
238 - UK - RECIFE 2 - 238,2 04 01 007441,PORTA CELULAR NYLON 70441 V23,1,"54,63",189,"54,63",189,189,189,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2023,ACESSORIOS,ACESSORIOS,NACIONAL,NYLON,ACESSORIOS,PORTA CELULAR,70441V23,3/1/2023,1
238 - UK - RECIFE 2 - 238,2 04 01 007824,GUARDA CHUVA POLIESTER GOMOS P,1,"54,9",179,"54,9",169,179,179,GUARDACHUVARIA CONTORNOS,CONTORNOS 2,UNCLE K,VERAO 2024,ACESSORIOS,ACESSORIOS,NACIONAL,POLIESTER,ACESSORIOS,GUARDA-CHUVA,GOMOSPV24,12/29/2025,1
238 - UK - RECIFE 2 - 238,2 04 01 007639,GUARDA CHUVA POLIESTER MINI FUN P,1,"51,9",169,"51,9",169,169,169,GUARDACHUVARIA CONTORNOS,CONTORNOS 2,UNCLE K,INVERNO 2023,ACESSORIOS,ACESSORIOS,NACIONAL,POLIESTER,ACESSORIOS,GUARDA-CHUVA,MINIFUNPI23,2/27/2025,1
226 - UK - RECIFE - 226,2 02 16 008167,SAPATILHA COURO ROMA I24,1,"88,9","144,5","88,9",289,"144,5",289,RC INDUSTRIA DE CALCADOS EIRELI,PRIMMA SCARPA,UNCLE K,INVERNO 2024,CALCADOS,SAPATILHA,NACIONAL,COURO,CALCADOS,SAPATILHA BONECA,ROMAI24,5/21/2024,1
226 - UK - RECIFE - 226,2 02 18 007421,TENIS LONA ALOHA V23,1,84,149,84,299,149,279,RC INDUSTRIA DE CALCADOS EIRELI,PRIMMA SCARPA,UNCLE K,VERAO 2023,CALCADOS,TENIS,NACIONAL,LONA,CALCADOS,TENIS,ALOHAV23,9/12/2022,1
242 - UK - RECIFE 4 - 242,2 02 18 008873,TENIS NAPA VEG TK2 I26,12,1140,4308,95,359,359,359,INDUSTRIA E COMERCIO DE CALCADOS S SANTOS LTDA,SUZANA SANTOS,UNCLE K,INVERNO 2026,CALCADOS,TENIS,NACIONAL,NAPA VEGGIE,CALCADOS,TENIS,TK2I26,3/16/2026,1
240 - UK - RECIFE 3 - 240,2 02 18 008873,TENIS NAPA VEG TK2 I26,12,1140,4308,95,359,359,359,INDUSTRIA E COMERCIO DE CALCADOS S SANTOS LTDA,SUZANA SANTOS,UNCLE K,INVERNO 2026,CALCADOS,TENIS,NACIONAL,NAPA VEGGIE,CALCADOS,TENIS,TK2I26,3/16/2026,1
238 - UK - RECIFE 2 - 238,2 02 17 008270,SAPATO NOBUCK VEG FRANCIS V25,1,92,"174,5",92,349,"174,5",349,INDUSTRIA E COMERCIO DE CALCADOS S SANTOS LTDA,SUZANA SANTOS,UNCLE K,VERAO 2025,CALCADOS,SAPATO,NACIONAL,NOBUCK VEGGIE,CALCADOS,SAPATO BONECA,FRANCISV25,3/11/2026,1
238 - UK - RECIFE 2 - 238,2 02 17 008270,SAPATO NOBUCK VEG FRANCIS V25,1,92,"174,5",92,349,"174,5",349,INDUSTRIA E COMERCIO DE CALCADOS S SANTOS LTDA,SUZANA SANTOS,UNCLE K,VERAO 2025,CALCADOS,SAPATO,NACIONAL,NOBUCK VEGGIE,CALCADOS,SAPATO BONECA,FRANCISV25,8/1/2024,1
240 - UK - RECIFE 3 - 240,2 02 15 008765,PAPETE TRAMA VEG KITTY V26,2,126,518,63,259,259,259,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,TRAMA VEGGIE,CALCADOS,PAPETE,KITTYV26,3/9/2026,1
238 - UK - RECIFE 2 - 238,2 02 14 008764,RASTEIRA NOBUCK VEG BIJOUX V26,1,49,159,49,159,159,159,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,NOBUCK VEGGIE,CALCADOS,RASTEIRA,BIJOUXV26,2/4/2026,1
238 - UK - RECIFE 2 - 238,2 02 14 008764,RASTEIRA NOBUCK VEG BIJOUX V26,1,49,159,49,159,159,159,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,NOBUCK VEGGIE,CALCADOS,RASTEIRA,BIJOUXV26,1/15/2026,1
240 - UK - RECIFE 3 - 240,2 02 14 008764,RASTEIRA NOBUCK VEG BIJOUX V26,1,49,159,49,159,159,159,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,NOBUCK VEGGIE,CALCADOS,RASTEIRA,BIJOUXV26,11/29/2025,1
226 - UK - RECIFE - 226,2 02 15 008849,RASTEIRA NAPA/CAMURCA VEG EMBAU V26,1,36,149,36,149,149,149,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,ALTO VERAO 2026,CALCADOS,SANDALIA,NACIONAL,NAPA/CAMURCA VEGGIE,CALCADOS,RASTEIRA,EMBAUV26,2/11/2026,1
238 - UK - RECIFE 2 - 238,2 02 15 008766,PLATAFORMA VEGGIE PAX V26,1,60,259,60,259,259,259,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,VEGGIE,CALCADOS,PLATAFORMA,PAXV26,3/10/2026,1
240 - UK - RECIFE 3 - 240,2 02 15 008848,RASTEIRA NAPA/CAMURCA VEG MARAU V26,1,36,149,36,149,149,149,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,ALTO VERAO 2026,CALCADOS,SANDALIA,NACIONAL,NAPA/CAMURCA VEGGIE,CALCADOS,RASTEIRA,MARAUV26,2/3/2026,1
226 - UK - RECIFE - 226,2 02 14 008846,RASTEIRA CAMURCA VEGGIE ESPELHO V26,3,135,537,45,179,179,179,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,ALTO VERAO 2026,CALCADOS,SANDALIA,NACIONAL,CAMURCA VEGGIE,CALCADOS,RASTEIRA,ESPELHOV26,12/15/2025,1
226 - UK - RECIFE - 226,2 02 14 008846,RASTEIRA CAMURCA VEGGIE ESPELHO V26,1,45,179,45,179,179,179,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,ALTO VERAO 2026,CALCADOS,SANDALIA,NACIONAL,CAMURCA VEGGIE,CALCADOS,RASTEIRA,ESPELHOV26,1/7/2026,1
226 - UK - RECIFE - 226,2 02 14 008773,RASTEIRA NAPA VEG QUINTA V26,1,36,129,36,129,129,129,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,NAPA VEGGIE,CALCADOS,RASTEIRA,QUINTAV26,1/3/2026,1
226 - UK - RECIFE - 226,2 02 14 008773,RASTEIRA NAPA VEG QUINTA V26,1,36,129,36,129,129,129,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,NAPA VEGGIE,CALCADOS,RASTEIRA,QUINTAV26,3/6/2026,1
238 - UK - RECIFE 2 - 238,2 02 15 008772,PLATAFORMA NOBUCK VEG DIGGY V26,2,152,658,76,329,329,329,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE,CALCADOS,PLATAFORMA,DIGGYV26,2/28/2026,1
242 - UK - RECIFE 4 - 242,2 02 15 008772,PLATAFORMA NOBUCK VEG DIGGY V26,1,76,329,76,329,329,329,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE,CALCADOS,PLATAFORMA,DIGGYV26,1/19/2026,1
238 - UK - RECIFE 2 - 238,2 02 15 008370,RASTEIRA CAMURCA VEG EMMA V25,1,46,"79,5",46,159,"79,5",159,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2025,CALCADOS,SANDALIA,NACIONAL,CAMURCA VEGGIE,CALCADOS,RASTEIRA,EMMAV25,12/5/2024,1
240 - UK - RECIFE 3 - 240,2 02 18 008749,TENIS VEGGIE KA V26,1,84,349,84,349,349,349,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,TENIS,NACIONAL,VEGGIE,CALCADOS,TENIS,KAV26,3/4/2026,1
242 - UK - RECIFE 4 - 242,2 02 18 008749,TENIS VEGGIE KA V26,1,84,349,84,349,349,349,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,TENIS,NACIONAL,VEGGIE,CALCADOS,TENIS,KAV26,1/8/2026,1
238 - UK - RECIFE 2 - 238,2 02 15 008748,PLATAFORMA NOBUCK VEG MARIANA V26,1,84,329,84,329,329,329,INDUSTRIA E COMERCIO DE CALCADOS S.SANTOS LTDA,RENATA MELLO,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,NOBUCK VEGGIE,CALCADOS,PLATAFORMA,MARIANAV26,12/12/2025,1
240 - UK - RECIFE 3 - 240,2 02 18 008605,TENIS COURO RIO I25,1,149,469,149,469,469,469,CALCADOS SHELTER INDUSTRIA E COMERCIA LTDA EPP,SHELTER,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RIOI25,3/19/2026,1
226 - UK - RECIFE - 226,2 02 18 008605,TENIS COURO RIO I25,1,149,469,149,469,469,469,CALCADOS SHELTER INDUSTRIA E COMERCIA LTDA EPP,SHELTER,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RIOI25,2/24/2026,1
226 - UK - RECIFE - 226,2 02 18 00818,TENIS COURO RIO I24,2,284,898,142,449,449,449,CALCADOS SHELTER INDUSTRIA E COMERCIA LTDA EPP,SHELTER,UNCLE K,INVERNO 2024,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RIOI24,12/18/2025,1
242 - UK - RECIFE 4 - 242,2 02 18 007814,TENIS NEOPRENE NEO,1,"146,9",239,"146,9",489,239,489,CALCADOS SHELTER INDUSTRIA E COMERCIA LTDA EPP,SHELTER,UNCLE K,INVERNO 2023,CALCADOS,TENIS,NACIONAL,NEOPRENE,MASCULINO,TENIS,NEO,12/24/2025,1
242 - UK - RECIFE 4 - 242,2 03 11 007926,MOCHILA NYLON BNT BUK V24,1,150,549,150,549,549,549,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,VERAO 2024,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,BUKV24,5/10/2025,1
238 - UK - RECIFE 2 - 238,2 03 11 007926,MOCHILA NYLON BNT BUK V24,3,450,1647,150,549,549,549,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,VERAO 2024,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,BUKV24,3/12/2026,1
238 - UK - RECIFE 2 - 238,2 03 11 008109,MOCHILA NY BNT BUK I24,1,150,549,150,549,549,549,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,INVERNO 2024,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,BUKBNTI24,3/2/2026,1
240 - UK - RECIFE 3 - 240,2 03 11 007534,MOCHILA NYLON RUBBER 60981 V23,1,130,259,130,429,259,419,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,VERAO 2023,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON EMBORRACHADO,MOCHILAS/MALAS,MOCHILA,60981V23,2/12/2025,1
238 - UK - RECIFE 2 - 238,2 03 11 007763,MOCHILA NYLON RUBBER BUK I23,1,150,349,150,529,349,529,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,INVERNO 2023,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON EMBORRACHADO,MOCHILAS BASICAS,MOCHILA,BUKI23RB,1/20/2024,1
226 - UK - RECIFE - 226,2 03 11 007477,MOCHILA NYLON BNT BUK V23,1,140,549,140,549,549,549,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,VERAO 2023,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,205104V23,6/10/2023,1
226 - UK - RECIFE - 226,2 03 11 007270,MOCHILA NYLON RUBBER 205104 V22,1,149,529,149,529,529,529,BAG PLANET BOLSAS E ACESSORIOS LTDA,BAG PLANET BOLSAS E ACESSORIOS LTDA,UNCLE K,VERAO 2022,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON EMBORRACHADO,MOCHILAS BASICAS,MOCHILA,205104RBV22,5/25/2023,1
226 - UK - RECIFE - 226,2 02 15 008753,PLATAFORMA COURO PLATO V26,1,"101,2",329,"101,2",329,329,329,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,PLATAFORMA,PLATOV26,11/21/2025,1
226 - UK - RECIFE - 226,2 02 14 008752,RASTEIRA COURO SILVER V26,1,81,269,81,269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,SILVERV26,3/6/2026,1
242 - UK - RECIFE 4 - 242,2 02 14 008752,RASTEIRA COURO SILVER V26,2,162,538,81,269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,SILVERV26,2/3/2026,1
226 - UK - RECIFE - 226,2 02 15 008878,SANDALIA COURO TOTIS I26,1,"86,3",279,"86,3",279,279,279,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,RASTEIRA,TOTISI26,3/14/2026,1
226 - UK - RECIFE - 226,2 02 15 008878,SANDALIA COURO TOTIS I26,1,"86,3",279,"86,3",279,279,279,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,RASTEIRA,TOTISI26,3/16/2026,1
238 - UK - RECIFE 2 - 238,2 02 14 008733,RASTEIRA COURO GOLDEN V26,4,336,1076,84,269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,GOLDENV26,10/29/2025,1
240 - UK - RECIFE 3 - 240,2 02 14 008733,RASTEIRA COURO GOLDEN V26,1,84,269,84,269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,GOLDENV26,12/24/2025,1
226 - UK - RECIFE - 226,2 02 14 008733,RASTEIRA COURO GOLDEN V26,1,84,269,84,269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,GOLDENV26,12/27/2025,1
242 - UK - RECIFE 4 - 242,2 02 14 008769,RASTEIRA COURO RIVER V26,1,"77,5",249,"77,5",249,249,249,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,RIVERV26,12/1/2025,1
242 - UK - RECIFE 4 - 242,2 02 15 008879,PAPETE CAMURCA BRICK I26,9,"1077,3",3501,"119,7",389,389,389,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,CAMURCA,CALCADOS,PAPETE,BRICKI26,3/16/2026,1
238 - UK - RECIFE 2 - 238,2 02 14 008599,RASTEIRA COURO MILLION I25,1,"78,7",269,"78,7",269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,INVERNO 2025,CALCADOS,SANDALIA  RASTEIRA,NACIONAL,COURO,CALCADOS,RASTEIRA,MILLIONI25,6/19/2025,1
238 - UK - RECIFE 2 - 238,2 02 15 008267,RASTEIRA COURO GOLDEN V25,6,"514,2",1614,"85,7",269,269,269,NIVAN CALCADOS LTDA,AYE AYE,UNCLE K,VERAO 2025,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,RASTEIRA,GOLDENV25,8/13/2025,1
242 - UK - RECIFE 4 - 242,2 02 15 008594,SANDALIA COURO LAND I25,1,"86,5",199,"86,5",299,199,299,CALCADOS R.M.S LTDA,RMS,UNCLE K,INVERNO 2025,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,ANABELA,LANDI25,11/13/2025,1
226 - UK - RECIFE - 226,2 02 18 008363,TENIS LONA LUAU V25,1,"83,5","149,5","83,5",299,"149,5",299,CALCADOS R.M.S LTDA,RMS,UNCLE K,VERAO 2025,CALCADOS,TENIS,NACIONAL,LONA,CALCADOS,TENIS,LUAUV25,9/9/2024,1
226 - UK - RECIFE - 226,2 02 15 008736,ANABELA COURO PIC NIC V26,1,87,299,87,299,299,299,CALCADOS R.M.S LTDA,RMS,UNCLE K,VERAO 2026,CALCADOS,SANDALIA  ANABELA,NACIONAL,COURO,CALCADOS,ANABELA,PICNICV26,8/5/2025,1
240 - UK - RECIFE 3 - 240,2 02 15 007984,PLATAFORMA LONA TRANCOSO V24,2,"199,8",298,"99,9",329,149,329,NEW PORT IND. COM. IMP. E EXP DE CALCADOS LTDA,A3 ESPADRILLES,UNCLE K,VERAO 2024,CALCADOS,SANDALIA,NACIONAL,LONA,CALCADOS,PLATAFORMA,TRANCOSOV24,9/5/2023,1
226 - UK - RECIFE - 226,2 01 04 008312,BOLSA NYLON BNT 61233 V25,1,68,369,68,369,369,369,TRUST - IMPORTACAO E EXPORTACAO EIRELI,TTL BRAZIL (DTX),UNCLE K,VERAO 2025,BOLSAS,BOLSA NYLON,IMPORTADO,NYLON BNT,BOLSAS NYLON IMPORTADO,BOLSA TRANSPASSE,61233BNTV25,6/12/2025,1
242 - UK - RECIFE 4 - 242,2 03 11 008303,MOCHILA NYLON BNT BIG BUK V25,1,144,589,144,589,589,589,TRUST - IMPORTACAO E EXPORTACAO EIRELI,TTL BRAZIL (DTX),UNCLE K,VERAO 2025,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,BIGBUKBNTV25,11/17/2025,1
238 - UK - RECIFE 2 - 238,2 03 11 008302,MOCHILA NYLON BNT BUK V25,2,260,1098,130,549,549,549,TRUST - IMPORTACAO E EXPORTACAO EIRELI,TTL BRAZIL (DTX),UNCLE K,VERAO 2025,MOCHILAS,MOCHILA NYLON,IMPORTADO,NYLON BNT,MOCHILAS BASICAS,MOCHILA,BUKBNTV25,10/15/2025,1
