Produto,De,Para,Quantidade
"('MOCHILA NY BNT BUK V26', 54048, 'CAQUI', 'U')",242 - UK - RECIFE 4 - 242,226 - UK - RECIFE - 226,1
"('MOCHILA NY BNT BUK V26', 54049, 'MARROM', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('MOCHILA NY SOFT 61405 V26', 54154, 'PRETO', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,3
"('MOCHILA NY SOFT 61406 V26', 54156, 'PRETO', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,3
"('MOCHILA NY TWILL 61151 I25', 51931, 'VERDE', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('MOCHILA NYLON BNT BUK V25', 50349, 'PRETO', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('MOCHILA NYLON BNT BUK V25', 50350, 'CAQUI', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('MOCHILA NYLON BNT BUK V25', 50350, 'CAQUI', 'U')",242 - UK - RECIFE 4 - 242,240 - UK - RECIFE 3 - 240,1
"('NECESSAIRE COURO 70419 V26', 52966, 'PRETO', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('NECESSAIRE COURO 70419 V26', 52969, 'AZUL', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('NECESSAIRE CRISTAL/ESTAMPA 70600 V26', 53128, 'PRETO', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('NECESSAIRE SINTETICO 70266 V25', 51390, 'PRETO', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('NECESSAIRE SINTETICO 70266 V25', 51391, 'PRATA', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,2
"('NECESSAIRE SINTETICO 70615 I26', 55015, 'VINHO', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,1
"('ORGANIZADOR NY SATIN 70559 I26', 55009, 'VINHO', 'U')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,2
"('ORGANIZADOR NY SATIN 70559 I26', 55010, 'VERDE', 'U')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA BRICK I26', 54528, 'BEGE', '36')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,1
"('PAPETE CAMURCA BRICK I26', 54529, 'BEGE', '37')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('PAPETE CAMURCA BRICK I26', 54535, 'CAQUI', '37')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('PAPETE CAMURCA BRICK I26', 54535, 'CAQUI', '37')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('PAPETE CAMURCA VEG BOHO I26', 54540, 'CARAMELO', '36')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54540, 'CARAMELO', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54541, 'CARAMELO', '37')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54541, 'CARAMELO', '37')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54546, 'MARROM', '36')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54546, 'MARROM', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54547, 'MARROM', '37')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE CAMURCA VEG BOHO I26', 54547, 'MARROM', '37')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('PAPETE COURO FIGARO V26', 53198, 'CHARUTO', '35')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,2
"('PAPETE ELASTICO LAND I26', 54395, 'CARAMELO', '36')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PAPETE ELASTICO LAND I26', 54401, 'MILITAR', '36')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,1
"('PAPETE ELASTICO LAND I26', 54402, 'MILITAR', '37')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54420, 'AREIA', '36')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54421, 'AREIA', '37')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54428, 'CARAMELO', '36')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54429, 'CARAMELO', '37')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54429, 'CARAMELO', '37')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('PLATAFORMA CAMURCA VEG VELEZ I26', 54437, 'VINHO', '37')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('PLATAFORMA NOBUCK VEG MARIANA V26', 53391, 'CARAMELO', '37')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('POCHETE NY SATIN 70359 I26', 54884, 'VERDE', 'U')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,2
"('POCHETE NY SATIN 70359 I26', 54884, 'VERDE', 'U')",238 - UK - RECIFE 2 - 238,242 - UK - RECIFE 4 - 242,1
"('PORTA CELULAR NY SATIN 70564 I26', 54872, 'VERDE', 'U')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('PORTA DOC COURO 70351 V26', 53890, 'MARROM', 'U')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('PORTA PASSAPORTE COURO 70350 V26', 52792, 'MARROM', 'U')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,1
"('RASTEIRA COURO GOLDEN V25', 50110, 'OFF WHITE', '34')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('RASTEIRA COURO GOLDEN V25', 50331, 'PRETO', '34')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,2
"('RASTEIRA COURO GOLDEN V26', 53153, 'PRETO', '35')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('RASTEIRA COURO GOLDEN V26', 53160, 'GELO', '35')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA COURO RIVER V26', 53708, 'OFF WHITE', '36')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA COURO RIVER V26', 53708, 'OFF WHITE', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA COURO RIVER V26', 53715, 'PRATA', '36')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA COURO RIVER V26', 53722, 'VERMELHO', '36')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA COURO RIVER V26', 53723, 'VERMELHO', '37')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('RASTEIRA NAPA VEG FISHY I26', 54552, 'CARAMELO', '36')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG FISHY I26', 54553, 'CARAMELO', '37')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG FISHY I26', 54553, 'CARAMELO', '37')",242 - UK - RECIFE 4 - 242,240 - UK - RECIFE 3 - 240,1
"('RASTEIRA NAPA VEG FISHY I26', 54558, 'PRETO', '36')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
